County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
MONROE,MONROE,329,283,268,273,235,246,218,191,248,177,127,160,2663,81,606,86,2016
MONTGOMERY,MONTGOMERY,19,24,27,6,15,17,14,14,16,9,8,11,165,37,14,0,2016
NASSAU,NASSAU,478,393,375,310,273,278,248,256,386,381,347,301,3980,363,456,12,2016
NEW YORK,NEW YORK,1667,1590,1453,1275,1150,1149,993,1010,1832,1633,1175,1034,11835,54,6035,1167,2016
BRONX,BRONX,3912,3826,3709,3391,2944,2916,2492,2444,2687,2113,1529,1148,22359,41,15556,1811,2016
KINGS,KINGS,2814,2808,2721,2514,2226,2064,1761,1700,2262,1999,1397,1397,17752,64,11277,1543,2016
QUEENS,QUEENS,1750,1746,1685,1584,1478,1368,1220,1208,1521,1068,860,684,14041,50,4219,772,2016
RICHMOND,RICHMOND,264,278,279,255,189,212,176,155,267,173,133,123,1859,16,925,186,2016
NIAGARA,NIAGARA,42,37,35,24,44,18,30,31,36,32,27,23,313,0,80,0,2016
ONEIDA,ONEIDA,30,34,27,23,20,16,19,14,38,26,20,36,308,8,39,0,2016
ONONDAGA,ONONDAGA,246,258,271,289,250,234,212,199,332,230,139,186,2398,102,564,30,2016
ONTARIO,ONTARIO,26,36,31,30,29,26,19,23,30,24,12,9,285,52,8,0,2016
ORANGE,ORANGE,137,159,160,133,122,119,109,136,150,122,129,115,1309,212,268,12,2016
ORLEANS,ORLEANS,6,5,9,7,0,0,7,0,5,0,0,0,44,6,14,7,2016
OSWEGO,OSWEGO,70,79,52,51,62,39,49,52,47,63,63,87,718,28,65,9,2016
OTSEGO,OTSEGO,5,5,14,0,0,5,6,5,0,0,0,9,57,0,17,0,2016
PUTNAM,PUTNAM,6,5,5,14,0,8,0,8,0,0,5,8,52,0,20,0,2016
RENSSELAER,RENSSELAER,60,69,50,51,62,46,46,52,33,39,31,43,463,0,147,0,2016
ROCKLAND,ROCKLAND,45,45,40,55,43,63,45,51,101,86,55,59,578,31,117,0,2016
SAINT LAWRENCE,SAINT LAWRENCE,52,37,47,50,43,39,43,35,35,36,48,44,553,0,35,0,2016
SARATOGA,SARATOGA,60,50,49,47,36,39,39,32,71,41,35,58,490,76,59,6,2016
SCHENECTADY,SCHENECTADY,32,29,29,28,27,19,23,27,16,15,15,19,194,75,56,0,2016
SCHOHARIE,SCHOHARIE,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2016
SCHUYLER,SCHUYLER,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,2016
SENECA,SENECA,6,0,0,0,5,5,0,5,8,8,9,8,59,11,8,0,2016
STEUBEN,STEUBEN,26,32,31,29,16,23,15,17,18,19,21,31,219,62,31,0,2016
SUFFOLK,SUFFOLK,416,401,433,425,383,408,367,354,389,420,415,448,3413,240,1737,15,2016
SULLIVAN,SULLIVAN,28,16,31,23,28,34,14,11,21,23,18,21,223,47,0,0,2016
TIOGA,TIOGA,5,0,0,5,6,0,0,5,6,0,5,0,50,0,5,0,2016
TOMPKINS,TOMPKINS,14,15,12,19,7,16,10,15,13,14,18,21,148,0,44,0,2016
ULSTER,ULSTER,53,44,41,57,36,41,31,47,60,45,41,42,283,157,150,7,2016
WARREN,WARREN,13,16,19,14,20,19,13,14,12,18,9,17,165,22,0,0,2016
WASHINGTON,WASHINGTON,23,15,22,14,19,12,16,16,16,9,12,13,160,29,5,7,2016
WAYNE,WAYNE,24,28,26,23,33,20,16,24,25,24,20,36,272,0,26,0,2016
